"year","quantity","estimate","se_log","lower_50","upper_50","lower_80","upper_80","lower_95","upper_95","final_par_sha256","hessian_sha256","gradient_sha256","method"
1997,"fishing_mortality",0.7054780275,0.0368377819495722,0.688165196211991,0.723226414275059,0.672946686685779,0.739581986407317,0.656337343783151,0.758297927124694,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1998,"fishing_mortality",0.84004875,0.0375867532555727,0.81901962527737,0.861617817933942,0.800543252945925,0.881503778565016,0.780388008810636,0.904270560809961,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1999,"fishing_mortality",0.921701095,0.0372790241597503,0.898814487889072,0.94517046617638,0.878702148200361,0.966804178485392,0.856757945137453,0.99156700366275,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2000,"fishing_mortality",0.906358205,0.037442605263495,0.883755061233491,0.929539452508757,0.86389390685167,0.950909815725637,0.842226044705409,0.975373773982682,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2001,"fishing_mortality",0.777429705,0.0357071084272255,0.758929698870768,0.796380675463993,0.742655835179136,0.81383181493565,0.724881781733468,0.833786917324704,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2002,"fishing_mortality",0.9674040725,0.0344863307601811,0.945161293137116,0.99017029821789,0.92557971390486,1.01111835688502,0.904176246081115,1.03505333561442,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2003,"fishing_mortality",0.87790878,0.033611196535592,0.85823013442732,0.898038643813617,0.840896186226414,0.91655050721513,0.821938815291736,0.937690022252485,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2004,"fishing_mortality",1.228454525,0.0321797419781125,1.20207831689689,1.25540948437423,1.17882348784129,1.28017513695498,1.15336731091448,1.30843011216994,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2005,"fishing_mortality",0.9919742425,0.0329072120713578,0.970199348671216,1.01423784620259,0.9510102613766,1.03470271325893,0.930014512844344,1.05806187343675,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2006,"fishing_mortality",1.057686875,0.0317547791227303,1.03527392883039,1.08058504555517,1.01550796290961,1.10161767943403,0.993865003275,1.12560712155162,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2007,"fishing_mortality",1.0819596,0.0312738953868383,1.05937585596572,1.10502478364018,1.03945312330253,1.12620429896139,1.01763176920117,1.15035380327316,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2008,"fishing_mortality",1.16420825,0.0308189693715705,1.14025755609606,1.18866201949017,1.11912277722173,1.21111005597872,1.09596710263651,1.23669847945937,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
2009,"fishing_mortality",1.189604525,0.0300704105586446,1.16571978361989,1.21397864717196,1.14463308769977,1.23634284305406,1.12151897962222,1.26182343019925,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
