"check_type","unit","part","run_status","run_completed","output_hessian","has_hessian_file","success","missing","failure_reason","folder"
"hessian","part_47",47,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_47"
"hessian","part_48",48,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_48"
"hessian","part_49",49,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_49"
"hessian","part_50",50,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_50"
"hessian","part_51",51,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_51"
"hessian","part_52",52,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_52"
"hessian","part_53",53,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_53"
"hessian","part_54",54,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_54"
"hessian","part_55",55,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_55"
"hessian","part_56",56,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_56"
"hessian","part_57",57,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_57"
"hessian","part_58",58,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_58"
"hessian","part_59",59,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_59"
"hessian","part_60",60,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_60"
